POLE3
CFAP221
LINC01237
LINC01238
NXNL2
SYN2
LCK
SYN1
RORA-AS1
RORA-AS2
AKR1B1
GABRB3
LOC100996249
NLRC4
NLRC5
NLRC3
DYDC2
DYDC1
RAP1GAP
NET1
MIR6721
OPRK1
DNAH14
DNAH10
DNAH12
PGM5-AS1
PART1
EDN1
EDN3
EDN2
PTTG1IP
RSPRY1
LOC100507291
DKKL1
UBE2L6
OPN1MW
UBE2L3
TGFA
PREX2
NOL4L
SLC14A2
SLC14A1
STT3A
TH2LCRR
TUBA8
OXGR1
SLC13A1
SLC13A2
SLC13A3
SLC13A4
SLC13A5
RGS12
RGS13
RGS10
RGS11
RGS19
EMX2OS
LOC101927895
CLEC16A
IGFL2
BTN2A2
BTN2A1
TTLL11
TTLL10
ODF2L
PLAU
PLAT
C1orf198
PLAA
C1orf195
HIF3A
MZT2B
ZNF708
ZNF701
ZNF700
ZNF707
ZNF706
ZC3H10
ZC3H13
ZC3H14
RNF111
ZC3H18
GRIN1
DHX8
DHX9
NUP98
XPC
GRINA
NUP93
RAB40C
SLC46A1
NSL1
MYO3B
NOP2
DENND4A
DENND4C
SWAP70
PHLDA3
PHLDA2
PAMR1
TIPRL
GHDC
H19
SPATA8-AS1
SMAD9
TRERF1
LRPAP1
SMAD5
SMAD6
SMAD7
SMAD1
SMAD2
SMAD3
AMMECR1L
PLRG1
ERICH6
ERICH5
ERICH2
ERICH1
HERC2P2
HERC2P9
TCEA2
TCEA1
BFAR
LEO1
LINC00448
MGRN1
CUEDC1
RBMXL1
RHEBL1
PTPRD-AS1
PNOC
PDIA5
MRLN
MR1
CNPY3
CNPY2
COPG2
SHOX2
CHFR
HTR2A-AS1
SYPL1
RFX4
RFX5
RFX2
RFX3
IBA57
APC
ADNP
ZNF57
LMO7-AS1
TARS2
IGFBP2
IGFBP3
IGFBP7
CKLF
APLNR
PMS2P4
PMS2P5
TXNIP
MIR6873
MECOM
CLIC6
CLIC5
CLIC1
LINC01684
LOC574538
PKD1P1
TSNAX-DISC1
ZNF7
ZNF2
ZNF3
TIPIN
MRPS18A
AP2A1
AP2A2
NIM1K
NSUN2
NSUN5
NSUN4
NSUN7
BRDT
LOC102724596
BRD8
BRD9
BRD4
BRD7
BRD1
BRD2
CSF2RA
DMD
SEH1L
GAB2
GAB3
GAB1
PDIA6
ZSCAN9
ZSCAN2
DNAJB12
DNAJB14
SUPT20H
PSD
OR8U8
OR8U1
AMOTL2
ATAT1
FAM214A
FAM214B
CFAP36
AKIRIN1
ASAP1
ASAP2
ASAP3
OCRL
HILPDA
C14orf132
CALCRL
ANKLE1
OLR1
SERPINB8
SRRM1
SRRM3
TM2D1
TM2D2
TM2D3
OGFRL1
RSBN1
ARHGAP23
ARHGAP22
ARHGAP20
ARHGAP27
ARHGAP26
ARHGAP25
ARHGAP24
ARHGAP29
HHAT
NDUFAF3
RSAD1
OR2H1
IL4R
DYNC1LI1
DYNC1LI2
EFHC1
ABCG1
PLSCR4
PLSCR5
PLSCR2
SLA2
C4orf33
C15orf48
TSNAXIP1
C15orf40
C15orf41
NRM
PKD1
ZNF138
FAM197Y5P
PRKACB
ZNF131
ZNF133
ZNF135
ZNF136
C20orf78
SPG7
SPRYD7
KCNK9
KCNK4
TRAT1
KCNK2
LOC101928583
MIR4726
MIR4727
NUP160
PRMT5-AS1
VWDE
GNA12
GNA13
LOC101928058
MFGE8
OGDH
DAZL
DAZ2
C1orf131
C1orf132
OSER1-AS1
ZBTB37
TMEM132A
PEG10
TMEM132B
CCL28
CCL20
CCL23
CCL25
ALPK1
CUX1
CSNK1A1
GLYATL1
RAP1B
RAP1A
CTF1
LDLR
LOC643711
ELOA3B
CSE1L-AS1
SULF1
MIR548AI
BIN2
NOS1AP
THSD4-AS1
RNF216P1
TFG
HVCN1
RND3
CTNNBIP1
KIAA1549
LRRC43
LRRC42
LRRC49
FNDC5
PWWP2B
PWWP2A
CCDC151
CCDC157
TIMM50
LRRC4C
TASP1
PCED1A
PCED1B
LOC100507477
PALM2
OR5T3
OR5T2
FCF1
LINC00694
ATP6V0A1
RPL36A-HNRNPH2
ATP5A1
LINC00347
LINC00343
CITED2
NPAT
LLGL2
ACOX3
ACOX1
RCSD1
GAL3ST1
GAL3ST2
C3orf33
C3orf35
MATN2
MATN4
EBF4
EBF1
LMNA
ENDOV
ENDOU
GULP1
HLA-DMB
FLVCR2
GGPS1
DANT2
GALNT5
TMEM108
TMEM102
TMEM101
TMEM107
TMEM104
CCM2
HLTF
UBE2E2-AS1
SEPT7-AS1
KRT8
DACT1
DACT3
DACT2
TMCC1
TMCC2
TMCC3
MOGS
RECK
INSC
RUNX1T1
SPTBN4
SPTBN1
MRPL33
TFAP2A
LOC100130964
MRPL39
FAM149A
RPA2
REC8
C7orf71
SNORA90
LOC102467222
C7orf76
CHMP2B
PCDHGB2
PCDHGB1
CHMP2A
PCDHGB7
PCDHGB6
PCDHGB5
PCDHGB4
RREB1
TP53AIP1
PHC3
PHC2
PIANP
ZNF365
PRF1
H2AFV
H2AFY
H2AFJ
DPEP1
DPEP2
DPEP3
NMD3
LOXL1-AS1
LINC01541
BAIAP3
BAIAP2
FOXP2
WBSCR22
FOXP4
POLDIP3
POLDIP2
HM13
ALDH18A1
NUP85
YTHDF2
LOC102724323
LINC00102
LINC00106
PYCARD
DUSP22
DUSP23
DUSP26
FENDRR
YAF2
EDIL3
ZGPAT
UBE2D2
UBE2D3
UBE2D1
EDNRB
SAP130
APOE
APOO
APOM
FAM104A
FAM104B
CCDC50
CCDC51
CCDC57
CCDC58
CCDC59
PREPL
CABP4
CABP2
CABP1
FBXO34
FBXO31
FBXO32
FBXO38
MBOAT2
MBOAT1
MBOAT7
SLC25A51
UNC79
ALAS1
ALAS2
KIAA0513
CDCA7L
LOC101927811
LOC101927815
LOC101927817
APBA2
MORC2
MORC3
MORC4
PTPRZ1
GPATCH2L
SSUH2
LINC01770
RAI2
C1orf112
CBWD3
CBWD2
ACBD5
ACBD4
HYLS1
FAM172A
DFFA
DFFB
REV3L
RNF19B
RNF19A
MRPL43
MRPL42
IPP
MRPL40
MRPL47
HGFAC
MRPL49
MRPL48
NEK6
NEK4
NEK2
NEK3
NEK9
BMX
DHPS
COQ10B
CCDC3
CCDC7
NSD1
NSD3
NSD2
SYCE1
WDHD1
CA3-AS1
CIB3
KEL
PYHIN1
PCP2
MTMR14
TRMT2A
ECE2
ECE1
TRMT2B
EVC2
AURKA
AURKB
AURKC
WFIKKN2
CHN2
CHN1
CAV2
CAV3
AXL
CAV1
SARNP
SOX2-OT
SKAP2
SKAP1
LY6G5C
PITPNB
CLEC7A
NEBL-AS1
AMN1
RPARP-AS1
LMNB1
MRPS27
MRPS25
MRPS21
RXFP3
JMJD6
JMJD4
DNAJC9-AS1
JMJD8
ZHX1
APPL2
MEMO1
SIGMAR1
HS3ST6
CLCNKA
PHOSPHO2
PHOSPHO1
ZNHIT3
ZNHIT6
ZP3
ZP2
TTYH2
NFS1
LIPE-AS1
SIGLECL1
FBXL4
DEK
SLC25A5-AS1
HTR2A
HTR2C
HTR2B
GBA2
GBA3
KIAA0895
GBAS
TBPL1
ERMN
ACE
ACD
ATP5S
FAM222A-AS1
ATP5J
ATP5I
ATP5H
ME3
ATP5L
ATP5D
MPZL2
MPZL3
MPZL1
CYP7B1
MAGEA10
LOC105374952
MET
CLPX
CXADRP2
CLPS
CLPB
FEZF1
SLC9A3R2
CLP1
CCL4L1
DTWD2
DTWD1
CPM
CPD
CPZ
CASS4
BANK1
DOC2A
DOC2B
RBM4B
MIGA2
LOC105372440
LOC105372441
SNORD115-21
SNORD115-29
PSAP
GABRP
KRT13
KRT12
KRT18
ABHD17A
ABHD17B
SLC26A6
NBPF9
NBPF8
NBPF6
PEX5L-AS2
IQCH-AS1
PKLR
TMEM259
TM9SF1
SPATS2L
GOSR2
MEPCE
KCNC4
KCNC1
KCNC2
FLCN
ACAA1
SUFU
PLA2G4C
PLA2G4A
PLA2G4F
OR8H1
CMTM8
GRIA1
CMTM2
CMTM3
CMTM1
CMTM7
CMTM4
CMTM5
COL11A1
COL11A2
CHRFAM7A
NDUFA11
NDUFA12
ALDH1L2
ALDH1L1
EFL1
THUMPD3-AS1
GNG4
GNG2
ENTPD1-AS1
FUS
UGT3A2
UGT3A1
FUZ
RASGEF1B
RASGEF1A
PLEKHS1
TRDMT1
SMYD1
SMYD3
FAM78B
CLK1
CLK2
CLK3
ONECUT1
TMEM150A
TMEM150B
MTO1
LYSMD3
ACVR2A
LYSMD1
RRAS2
LYSMD4
SPATA33
C2orf61
CNBD2
HIP1
SNHG17
SNHG16
SNHG10
LOC100130451
CEACAM19
CIDEB
CIDEC
CIDEA
TRMT112
HSF2
HSF4
C7orf57
C7orf50
MIR941-3
MIR941-2
MIR941-1
MIR941-5
MIR941-4
RORC
RORA
ZNF471
ZNF473
ROR2
ROR1
SLTM
CHEK2
KPNA1
FRS2
B4GALT3
B4GALT2
B4GALT4
B4GALT6
FCN3
FCN2
TRRAP
LINC00613
CYP19A1
SULT2B1
SOGA1
DOHH
C21orf62
FAM83H
PPP2R1A
PPP2R1B
LOC102724708
ZMYND15
ZMYND12
ZMYND10
ZMYND11
WNT2B
