IGFLR1
TRO
SLC26A5
MIA3
MIA2
SLC26A8
DIABLO
LRRC8B
FAM83A
FAM86B3P
BMF
NPM2
NEK1
TMEM25
MS4A4A
COLEC10
COLEC11
LRP8
VWA5B2
VTA1
BNIP1
NAB1
AKAP14
AKAP12
AKAP13
ZSCAN5A
TP73
AKR7L
GLS2
EGFR
WDR83
IMPDH1
PTPN20
E4F1
CHRND
TNRC6B
USP28
USP25
ARHGEF9
CCSER2
ARHGEF7
ARHGEF4
CDH4
NETO1
ECSIT
MEF2C-AS1
ZNF502
TREM1
RACGAP1
NRSN2
FGD4
ZBTB8OS
SLC5A2
CCNB1IP1
NBR2
NBR1
CARD14
CUL4B
SLC6A2
SLC6A6
SLC6A9
ASB15
C12orf56
MAPRE2
GRM4
MCRIP1
MCRIP2
RNF217
RNF213
RNF212
MED20
MED23
MED24
MED27
SEPT9
SEPT4
SEPT2
TOM1L1
PARP6
DNAJC5G
ALDH4A1
NVL
NSMF
ALDH7A1
C1QTNF9B
BAHD1
MYLPF
ZCCHC6
ZCCHC4
C19orf48
HTR4
CLEC12A
TXLNG
NELL1
SPOCK2
SPOCK3
BTN3A2
BTN3A3
AGTRAP
YTHDC2
EED
NR3C1
MYO7A
ACADVL
NAA60
WIPI2
SAMD3
EGFLAM
DTL
RAP1GDS1
PDE6B
MVP
ZNF18
LILRA6
LILRA5
LILRA2
LILRA1
CORIN
KIRREL2
KIRREL3
CYB5R2
ASNS
MLLT10
BCAR1
BCAR3
CD99
PTPA
SOX5
KLRC1
SLC1A6
STAU1
PLCB3
NCALD
C14orf177
RALGPS1
CD4
CD6
NUSAP1
CD274
CD276
ABCC4
ABCC5
ABCC3
GOLGA3
ENPP2
DNM3
ZNF287
ZNF285
SACM1L
IL4I1
TIMM23
ELF2
ELF5
UPK3B
UPK3A
GMPR2
SLFN11
PLEKHG1
PLEKHG4
CAMK4
HMGCLL1
COL4A6
COL4A1
MCF2L
TBC1D31
ATP6V0E2
KNDC1
XPNPEP1
GGCX
KHDRBS1
B4GALT1-AS1
EIF2B3
TMEM14B
MYT1L
CFHR2
CFHR4
TMEM147
RTKN2
ZMAT1
CADPS
TARS
MAMSTR
LUCAT1
MBNL1
MBNL2
MBNL3
LRFN5
NDRG1
NDRG2
NDRG3
NDRG4
CLNS1A
ZNF326
ZNF322
EIF2AK2
PIGG
PIGO
PIGP
PIGT
BBIP1
PUF60
NTRK2
NTRK3
PMF1-BGLAP
HNF4G
HNF4A
ZNF571-AS1
HELLS
MLH1
LRP5L
CRYZ
EIF2D
EIF2A
TMEM98
PCLO
LOC102725191
UCK1
DNAJC4
DNAJC2
LOC100996724
SPAG16
CDK5RAP2
CDK5RAP3
CCDC144A
BAX
GZF1
PIP5KL1
GUK1
ME2
NCSTN
TCP11L2
CARF
TAOK2
SYCP1
SLC22A18
ADAM3A
SLC22A17
SLC22A12
SLC22A11
SERGEF
ARHGDIB
ARHGDIA
USH1C
CES3
RAET1E
FAM3A
ATPAF1
ZCWPW2
ZCWPW1
CDC16
FRMD1
FRMD3
VPS45
RPL36A
NDUFS1
NDUFS2
NDUFS4
MICAL2
MICAL3
ALS2CR11
ZNF841
CLTA
BTBD11
LINC00680-GUSBP4
GGT5
LOC101930370
CPED1
CPNE1
CPNE7
CPNE5
DNMT3B
DNMT3A
SNRPN
SNRPG
ZNF790-AS1
ZDHHC15
ZDHHC16
PRKAG2
PTER
ELAVL4
FRAS1
HINT1
ATP13A2
E2F6
GJA9-MYCBP
ZDBF2
ZNF331
LIPA
HPCAL4
MIR99AHG
ARFGAP1
GPR161
AZI2
ZNF431
ZNF433
ZNF438
LINC01566
TM6SF1
AP1B1
RAB4A
IL12RB1
IL12RB2
CXADR
ACOT9
RBBP6
C12orf4
NARF
MIER1
PAPD7
PAPD4
TOLLIP
PPP2R5D
PPP2R5C
LCMT1
MAP3K7CL
CAPN10
SLC35D2
THUMPD2
LYRM1
LYRM7
NBPF3
OASL
UBAP2
UBAP1
DDX60L
KLHL32
PEX2
